phase,sponsor_type,enrollment_count,intervention_type,n_arms,has_dmc,allocation,masking,primary_purpose,n_primary_outcomes,n_secondary_outcomes,outcomes_ratio,n_locations,is_multicenter,has_us_site,n_collaborators,abandoned
PHASE1,INDUSTRY,68.0,DRUG,3,1.0,RANDOMIZED,QUADRUPLE,TREATMENT,4,0,0.0,1,0,0,1,0
PHASE1/PHASE2,INDUSTRY,79.0,DRUG,0,0.0,NON_RANDOMIZED,NONE,DIAGNOSTIC,1,1,1.0,10,1,1,0,0
NA,OTHER,20.0,OTHER,4,0.0,RANDOMIZED,SINGLE,OTHER,1,10,10.0,1,0,1,1,0
PHASE4,OTHER,0.0,DRUG,2,0.0,RANDOMIZED,SINGLE,TREATMENT,1,2,2.0,1,0,0,0,1
PHASE3,INDUSTRY,481.0,DRUG,3,,RANDOMIZED,TRIPLE,TREATMENT,1,2,2.0,57,1,1,1,0
PHASE1/PHASE2,OTHER,62.0,RADIATION,2,1.0,NON_RANDOMIZED,NONE,TREATMENT,1,3,3.0,5,1,1,0,0
NA,OTHER,148.0,OTHER,3,0.0,RANDOMIZED,NONE,BASIC_SCIENCE,2,0,0.0,1,0,1,0,0
NA,INDUSTRY,28.0,OTHER,10,0.0,NON_RANDOMIZED,DOUBLE,BASIC_SCIENCE,1,0,0.0,1,0,0,0,0
PHASE1,OTHER,33.0,DRUG,2,1.0,RANDOMIZED,DOUBLE,UNKNOWN,1,5,5.0,1,0,1,0,0
NA,OTHER,80.0,PROCEDURE,2,0.0,RANDOMIZED,SINGLE,TREATMENT,1,0,0.0,1,0,0,0,0
NA,OTHER_GOV,100.0,OTHER,2,0.0,RANDOMIZED,NONE,PREVENTION,1,0,0.0,1,0,0,0,0
PHASE4,OTHER,270.0,DRUG,2,0.0,RANDOMIZED,SINGLE,TREATMENT,1,1,1.0,5,1,1,1,0
PHASE1,INDUSTRY,54.0,DRUG,2,0.0,RANDOMIZED,NONE,TREATMENT,2,6,3.0,1,0,1,0,0
PHASE2,OTHER,134.0,DRUG,2,0.0,NON_RANDOMIZED,NONE,DIAGNOSTIC,1,2,2.0,1,0,1,1,0
PHASE1,INDUSTRY,17.0,DRUG,2,0.0,RANDOMIZED,SINGLE,TREATMENT,1,2,2.0,2,1,0,0,0
NA,INDUSTRY,60.0,DEVICE,2,0.0,RANDOMIZED,TRIPLE,TREATMENT,1,1,1.0,1,0,0,0,0
PHASE4,OTHER,50.0,DRUG,2,1.0,RANDOMIZED,QUADRUPLE,TREATMENT,1,1,1.0,3,1,1,1,0
NA,INDUSTRY,140.0,DIETARY_SUPPLEMENT,4,0.0,RANDOMIZED,NONE,TREATMENT,1,17,17.0,1,0,0,0,0
NA,OTHER,60.0,DEVICE,2,1.0,RANDOMIZED,NONE,SUPPORTIVE_CARE,2,11,5.5,1,0,0,0,0
PHASE1,INDUSTRY,182.0,DRUG,3,0.0,NON_RANDOMIZED,NONE,TREATMENT,12,11,0.9166666666666666,26,1,1,0,0
PHASE1,INDUSTRY,28.0,DRUG,4,1.0,NON_RANDOMIZED,NONE,TREATMENT,13,0,0.0,4,1,1,0,0
NA,OTHER,34.0,OTHER,2,,RANDOMIZED,TRIPLE,TREATMENT,3,0,0.0,1,0,0,0,0
NA,OTHER,99.0,OTHER,3,1.0,RANDOMIZED,DOUBLE,PREVENTION,1,1,1.0,1,0,0,0,0
PHASE1,INDUSTRY,35.0,DRUG,2,,RANDOMIZED,DOUBLE,TREATMENT,2,2,1.0,0,0,0,0,0
PHASE4,OTHER,58.0,PROCEDURE,2,1.0,RANDOMIZED,NONE,TREATMENT,3,0,0.0,1,0,1,2,0
NA,OTHER,155.0,BEHAVIORAL,2,0.0,RANDOMIZED,NONE,TREATMENT,1,1,1.0,1,0,0,1,0
NA,OTHER,121.0,BEHAVIORAL,2,,RANDOMIZED,NONE,BASIC_SCIENCE,1,11,11.0,1,0,0,0,0
NA,OTHER_GOV,100.0,PROCEDURE,2,,RANDOMIZED,NONE,TREATMENT,1,1,1.0,1,0,0,0,0
NA,OTHER,55.0,PROCEDURE,1,0.0,NON_RANDOMIZED,NONE,TREATMENT,1,14,14.0,1,0,0,2,0
PHASE2,OTHER,138.0,DRUG,2,0.0,RANDOMIZED,TRIPLE,PREVENTION,1,7,7.0,1,0,0,1,0
NA,OTHER,60.0,OTHER,3,1.0,RANDOMIZED,NONE,TREATMENT,4,1,0.25,1,0,0,0,0
PHASE1,INDUSTRY,22.0,DRUG,3,0.0,NON_RANDOMIZED,NONE,TREATMENT,2,5,2.5,4,1,1,0,0
PHASE2,OTHER,70.0,DRUG,2,1.0,RANDOMIZED,SINGLE,TREATMENT,2,0,0.0,1,0,1,0,0
NA,OTHER,26.0,DIETARY_SUPPLEMENT,2,0.0,RANDOMIZED,QUADRUPLE,TREATMENT,2,1,0.5,1,0,0,4,0
NA,OTHER,80.0,DRUG,2,1.0,RANDOMIZED,DOUBLE,TREATMENT,1,1,1.0,1,0,0,0,0
NA,OTHER,112.0,BEHAVIORAL,2,0.0,NON_RANDOMIZED,NONE,HEALTH_SERVICES_RESEARCH,8,2,0.25,1,0,1,1,0
PHASE1/PHASE2,INDUSTRY,38.0,DRUG,7,1.0,NON_RANDOMIZED,NONE,TREATMENT,10,10,1.0,1,0,0,0,0
PHASE4,OTHER,112.0,DRUG,2,0.0,RANDOMIZED,SINGLE,TREATMENT,1,3,3.0,1,0,0,4,0
NA,OTHER,3.0,PROCEDURE,2,1.0,RANDOMIZED,DOUBLE,TREATMENT,1,1,1.0,1,0,1,1,0
NA,INDUSTRY,85.0,DEVICE,2,,RANDOMIZED,SINGLE,TREATMENT,1,0,0.0,6,1,1,0,0
NA,OTHER,60.0,DEVICE,2,1.0,RANDOMIZED,SINGLE,TREATMENT,1,8,8.0,2,1,1,0,0
NA,OTHER,73.0,PROCEDURE,2,1.0,RANDOMIZED,NONE,HEALTH_SERVICES_RESEARCH,1,4,4.0,26,1,0,1,1
PHASE1,INDUSTRY,24.0,DRUG,3,0.0,NON_RANDOMIZED,NONE,TREATMENT,1,1,1.0,3,1,1,0,0
NA,OTHER,16.0,BEHAVIORAL,2,0.0,RANDOMIZED,NONE,TREATMENT,5,2,0.4,1,0,1,0,0
NA,OTHER,76.0,BEHAVIORAL,2,,RANDOMIZED,SINGLE,TREATMENT,2,1,0.5,1,0,0,0,0
PHASE4,INDUSTRY,251.0,DRUG,3,0.0,RANDOMIZED,NONE,TREATMENT,1,1,1.0,0,0,0,0,0
PHASE2,OTHER,33.0,DRUG,2,1.0,NON_RANDOMIZED,NONE,TREATMENT,1,11,11.0,7,1,0,0,0
PHASE1,INDUSTRY,40.0,DRUG,5,1.0,RANDOMIZED,DOUBLE,OTHER,52,0,0.0,1,0,1,0,0
PHASE3,INDUSTRY,,DRUG,0,,RANDOMIZED,DOUBLE,TREATMENT,0,0,0.0,2,1,1,0,1
PHASE1,INDUSTRY,45.0,DRUG,2,0.0,RANDOMIZED,DOUBLE,TREATMENT,1,7,7.0,1,0,0,0,0
NA,INDUSTRY,30.0,DRUG,0,0.0,RANDOMIZED,NONE,TREATMENT,1,0,0.0,1,0,1,0,0
NA,OTHER_GOV,0.0,OTHER,2,0.0,RANDOMIZED,NONE,OTHER,1,5,5.0,0,0,0,2,1
NA,OTHER,43.0,DRUG,2,1.0,RANDOMIZED,QUADRUPLE,TREATMENT,1,1,1.0,1,0,0,0,0
NA,OTHER,404.0,BEHAVIORAL,2,1.0,RANDOMIZED,SINGLE,PREVENTION,1,0,0.0,2,1,1,4,0
PHASE3,NETWORK,205.0,DRUG,4,1.0,RANDOMIZED,NONE,TREATMENT,1,9,9.0,71,1,0,1,1
PHASE2,OTHER,60.0,DRUG,2,0.0,RANDOMIZED,NONE,PREVENTION,1,7,7.0,1,0,0,0,0
NA,OTHER,380.0,PROCEDURE,2,,RANDOMIZED,NONE,TREATMENT,1,7,7.0,1,0,0,0,0
NA,OTHER,200.0,DRUG,2,0.0,RANDOMIZED,TRIPLE,TREATMENT,1,1,1.0,1,0,0,0,0
PHASE3,OTHER,190.0,DRUG,2,1.0,RANDOMIZED,NONE,TREATMENT,2,5,2.5,1,0,0,0,0
PHASE1,INDUSTRY,40.0,DRUG,5,0.0,RANDOMIZED,DOUBLE,BASIC_SCIENCE,1,0,0.0,2,1,0,0,0
PHASE2,INDUSTRY,73.0,DRUG,3,0.0,NON_RANDOMIZED,NONE,TREATMENT,2,0,0.0,4,1,0,0,0
NA,OTHER,0.0,OTHER,2,1.0,RANDOMIZED,SINGLE,SUPPORTIVE_CARE,5,1,0.2,0,0,0,1,1
NA,INDUSTRY,1.0,DEVICE,3,0.0,RANDOMIZED,NONE,TREATMENT,1,4,4.0,2,1,1,0,1
PHASE3,INDUSTRY,244.0,DRUG,2,,RANDOMIZED,NONE,TREATMENT,1,0,0.0,222,1,1,0,0
PHASE1/PHASE2,OTHER,50.0,DRUG,2,1.0,RANDOMIZED,TRIPLE,TREATMENT,2,4,2.0,1,0,0,1,0
PHASE4,OTHER_GOV,167.0,DRUG,2,1.0,NON_RANDOMIZED,NONE,TREATMENT,1,1,1.0,18,1,0,2,0
PHASE4,INDUSTRY,489.0,DRUG,2,0.0,RANDOMIZED,QUADRUPLE,TREATMENT,1,10,10.0,67,1,0,0,0
NA,OTHER,20.0,DRUG,2,0.0,RANDOMIZED,NONE,OTHER,1,0,0.0,1,0,1,0,0
NA,OTHER,68.0,BEHAVIORAL,2,0.0,RANDOMIZED,DOUBLE,PREVENTION,1,0,0.0,1,0,1,0,0
NA,OTHER,254.0,BEHAVIORAL,2,,RANDOMIZED,NONE,TREATMENT,1,0,0.0,1,0,1,0,0
NA,OTHER,36.0,DEVICE,2,1.0,RANDOMIZED,SINGLE,TREATMENT,2,3,1.5,1,0,0,0,0
NA,OTHER,60.0,OTHER,2,0.0,RANDOMIZED,SINGLE,TREATMENT,4,0,0.0,1,0,0,0,0
NA,OTHER_GOV,55.0,DRUG,2,0.0,RANDOMIZED,NONE,PREVENTION,1,0,0.0,3,1,0,0,0
PHASE3,INDUSTRY,65.0,DRUG,3,0.0,RANDOMIZED,DOUBLE,TREATMENT,1,1,1.0,1,0,1,1,0
NA,OTHER,260.0,BEHAVIORAL,2,0.0,RANDOMIZED,NONE,SUPPORTIVE_CARE,10,0,0.0,1,0,1,0,0
PHASE1/PHASE2,OTHER,5.0,DRUG,4,1.0,NON_RANDOMIZED,NONE,TREATMENT,2,3,1.5,1,0,1,1,0
PHASE2,OTHER,90.0,DRUG,3,1.0,RANDOMIZED,DOUBLE,TREATMENT,1,1,1.0,1,0,1,1,0
NA,OTHER,53.0,BEHAVIORAL,2,0.0,NON_RANDOMIZED,NONE,PREVENTION,1,6,6.0,1,0,0,1,0
NA,OTHER,50.0,DEVICE,6,0.0,RANDOMIZED,SINGLE,DEVICE_FEASIBILITY,3,5,1.6666666666666667,2,1,0,2,0
PHASE1,INDUSTRY,24.0,DRUG,2,,RANDOMIZED,NONE,OTHER,1,0,0.0,1,0,1,0,0
NA,OTHER,78.0,DRUG,2,,RANDOMIZED,DOUBLE,PREVENTION,1,1,1.0,1,0,0,0,0
NA,OTHER,20.0,BEHAVIORAL,2,,RANDOMIZED,SINGLE,OTHER,2,0,0.0,1,0,1,0,0
NA,OTHER,381.0,BEHAVIORAL,2,0.0,RANDOMIZED,SINGLE,PREVENTION,1,0,0.0,4,1,1,1,0
PHASE4,OTHER,,DEVICE,0,,RANDOMIZED,SINGLE,UNKNOWN,1,1,1.0,1,0,1,1,0
PHASE2,OTHER,40.0,DRUG,0,,RANDOMIZED,DOUBLE,TREATMENT,1,5,5.0,1,0,0,1,1
NA,OTHER,73.0,BEHAVIORAL,3,1.0,RANDOMIZED,SINGLE,TREATMENT,3,0,0.0,1,0,1,0,0
NA,OTHER,306.0,OTHER,2,1.0,RANDOMIZED,NONE,TREATMENT,1,7,7.0,14,1,0,1,0
NA,OTHER,23.0,OTHER,2,0.0,RANDOMIZED,SINGLE,TREATMENT,1,4,4.0,1,0,0,0,1
PHASE3,INDUSTRY,90.0,DRUG,2,0.0,RANDOMIZED,NONE,TREATMENT,1,0,0.0,8,1,0,0,0
PHASE1,INDUSTRY,24.0,DRUG,4,0.0,RANDOMIZED,DOUBLE,TREATMENT,1,11,11.0,1,0,1,1,0
NA,OTHER,15.0,DRUG,2,0.0,RANDOMIZED,SINGLE,DIAGNOSTIC,1,1,1.0,1,0,0,0,0
PHASE2/PHASE3,INDUSTRY,73.0,OTHER,2,1.0,RANDOMIZED,NONE,TREATMENT,1,3,3.0,1,0,0,1,0
PHASE1/PHASE2,INDUSTRY,,DRUG,0,,NON_RANDOMIZED,NONE,TREATMENT,4,6,1.5,5,1,0,0,1
NA,OTHER,50.0,DIETARY_SUPPLEMENT,3,0.0,RANDOMIZED,DOUBLE,PREVENTION,3,5,1.6666666666666667,1,0,0,2,0
NA,OTHER,29.0,DEVICE,3,0.0,RANDOMIZED,SINGLE,BASIC_SCIENCE,1,0,0.0,1,0,0,0,0
NA,OTHER,531.0,PROCEDURE,2,1.0,NON_RANDOMIZED,NONE,TREATMENT,1,2,2.0,2,1,0,0,0
NA,OTHER,250.0,OTHER,4,0.0,RANDOMIZED,SINGLE,TREATMENT,6,0,0.0,2,1,1,9,0
NA,OTHER,200.0,BEHAVIORAL,2,0.0,RANDOMIZED,NONE,TREATMENT,2,2,1.0,1,0,1,0,0
NA,OTHER,67.0,BEHAVIORAL,2,1.0,RANDOMIZED,TRIPLE,PREVENTION,1,0,0.0,1,0,0,1,0
PHASE3,OTHER,269.0,PROCEDURE,1,,RANDOMIZED,NONE,TREATMENT,1,4,4.0,13,1,0,1,0
NA,NETWORK,88.0,PROCEDURE,2,1.0,NON_RANDOMIZED,NONE,TREATMENT,1,1,1.0,1,0,1,0,0
PHASE3,OTHER,194.0,BEHAVIORAL,2,1.0,RANDOMIZED,NONE,TREATMENT,1,1,1.0,4,1,1,3,0
PHASE2,INDUSTRY,147.0,BIOLOGICAL,3,1.0,RANDOMIZED,QUADRUPLE,TREATMENT,1,1,1.0,80,1,1,1,0
NA,OTHER,140.0,OTHER,2,0.0,RANDOMIZED,NONE,PREVENTION,1,22,22.0,1,0,0,4,0
NA,OTHER,81.0,DRUG,3,0.0,RANDOMIZED,QUADRUPLE,TREATMENT,1,3,3.0,1,0,0,0,0
PHASE2,OTHER,0.0,DRUG,2,1.0,RANDOMIZED,TRIPLE,TREATMENT,5,1,0.2,1,0,1,1,1
NA,OTHER,50.0,OTHER,2,0.0,RANDOMIZED,TRIPLE,TREATMENT,6,0,0.0,1,0,0,1,0
PHASE1,INDUSTRY,22.0,DEVICE,2,,RANDOMIZED,NONE,TREATMENT,1,10,10.0,0,0,0,0,0
NA,OTHER,40.0,DEVICE,2,0.0,NON_RANDOMIZED,TRIPLE,PREVENTION,2,2,1.0,0,0,0,0,0
PHASE4,OTHER,405.0,OTHER,4,1.0,RANDOMIZED,NONE,TREATMENT,1,3,3.0,1,0,0,0,0
NA,OTHER_GOV,108.0,DIETARY_SUPPLEMENT,2,0.0,RANDOMIZED,NONE,TREATMENT,2,2,1.0,3,1,0,2,0
NA,OTHER,73.0,BEHAVIORAL,3,0.0,RANDOMIZED,SINGLE,TREATMENT,2,4,2.0,0,0,0,0,0
PHASE2,OTHER,136.0,DRUG,3,,RANDOMIZED,QUADRUPLE,TREATMENT,2,5,2.5,2,1,0,0,0
NA,OTHER,208.0,DEVICE,2,1.0,RANDOMIZED,SINGLE,TREATMENT,9,0,0.0,1,0,1,3,0
PHASE1,INDUSTRY,76.0,DRUG,9,1.0,RANDOMIZED,TRIPLE,TREATMENT,1,2,2.0,2,1,1,1,0
PHASE3,OTHER,74.0,DRUG,2,0.0,RANDOMIZED,QUADRUPLE,TREATMENT,1,2,2.0,1,0,1,1,0
PHASE3,INDUSTRY,,DRUG,0,,RANDOMIZED,DOUBLE,TREATMENT,2,0,0.0,31,1,1,0,0
NA,OTHER,60.0,OTHER,2,0.0,RANDOMIZED,NONE,SUPPORTIVE_CARE,1,1,1.0,1,0,0,0,0
PHASE4,OTHER,40.0,DRUG,2,,RANDOMIZED,TRIPLE,OTHER,1,1,1.0,1,0,0,0,0
NA,INDUSTRY,5.0,DEVICE,2,0.0,NON_RANDOMIZED,NONE,TREATMENT,1,2,2.0,1,0,1,0,0
NA,OTHER,60.0,BEHAVIORAL,2,,RANDOMIZED,NONE,SUPPORTIVE_CARE,1,0,0.0,1,0,0,0,0
PHASE1,INDUSTRY,52.0,DRUG,2,1.0,RANDOMIZED,DOUBLE,TREATMENT,5,1,0.2,1,0,1,0,0
NA,FED,55.0,BEHAVIORAL,2,0.0,RANDOMIZED,SINGLE,TREATMENT,6,8,1.3333333333333333,1,0,1,0,0
NA,OTHER,42.0,OTHER,3,0.0,RANDOMIZED,NONE,PREVENTION,4,8,2.0,1,0,0,0,0
PHASE2,OTHER,102.0,DRUG,2,0.0,RANDOMIZED,NONE,TREATMENT,1,5,5.0,1,0,0,0,0
NA,OTHER,146.0,PROCEDURE,2,1.0,RANDOMIZED,QUADRUPLE,TREATMENT,3,3,1.0,5,1,0,4,0
PHASE3,INDUSTRY,8381.0,DRUG,4,1.0,RANDOMIZED,NONE,TREATMENT,1,7,7.0,924,1,1,4,0
NA,OTHER,90.0,BEHAVIORAL,4,0.0,RANDOMIZED,SINGLE,TREATMENT,1,1,1.0,1,0,0,0,0
NA,OTHER,51.0,DEVICE,3,1.0,RANDOMIZED,DOUBLE,DIAGNOSTIC,1,1,1.0,0,0,0,0,0
NA,OTHER,150.0,DIAGNOSTIC_TEST,3,0.0,NON_RANDOMIZED,NONE,DIAGNOSTIC,1,0,0.0,1,0,0,0,0
NA,OTHER,52.0,DRUG,2,0.0,RANDOMIZED,DOUBLE,OTHER,1,2,2.0,1,0,0,0,0
PHASE1,INDUSTRY,,DRUG,0,,RANDOMIZED,NONE,TREATMENT,1,2,2.0,6,1,1,0,0
NA,OTHER,10.0,DIETARY_SUPPLEMENT,3,0.0,RANDOMIZED,DOUBLE,SUPPORTIVE_CARE,1,1,1.0,1,0,1,0,0
NA,OTHER,75.0,BEHAVIORAL,2,1.0,RANDOMIZED,SINGLE,TREATMENT,1,2,2.0,1,0,1,1,0
NA,OTHER,12.0,BEHAVIORAL,2,,RANDOMIZED,SINGLE,SUPPORTIVE_CARE,5,0,0.0,1,0,1,1,0
NA,OTHER,291.0,BEHAVIORAL,2,0.0,NON_RANDOMIZED,SINGLE,TREATMENT,1,0,0.0,6,1,1,0,0
PHASE3,INDUSTRY,,BIOLOGICAL,0,,NON_RANDOMIZED,NONE,PREVENTION,1,0,0.0,1,0,0,0,0
PHASE2,INDUSTRY,12.0,DRUG,4,1.0,RANDOMIZED,QUADRUPLE,TREATMENT,1,3,3.0,59,1,1,0,1
PHASE4,OTHER,335.0,DRUG,2,1.0,RANDOMIZED,TRIPLE,TREATMENT,1,1,1.0,1,0,0,0,1
PHASE3,OTHER,26.0,BEHAVIORAL,2,0.0,RANDOMIZED,NONE,TREATMENT,1,0,0.0,1,0,0,2,0
NA,OTHER,240.0,DEVICE,2,0.0,RANDOMIZED,SINGLE,TREATMENT,1,2,2.0,1,0,0,0,0
NA,OTHER,126.0,BEHAVIORAL,4,0.0,RANDOMIZED,SINGLE,PREVENTION,1,0,0.0,1,0,0,0,0
NA,OTHER,62.0,BEHAVIORAL,2,0.0,RANDOMIZED,NONE,TREATMENT,1,5,5.0,1,0,1,1,0
PHASE1,OTHER,33.0,DRUG,2,0.0,RANDOMIZED,TRIPLE,OTHER,2,5,2.5,1,0,1,2,0
NA,OTHER,116.0,BEHAVIORAL,2,0.0,RANDOMIZED,SINGLE,TREATMENT,2,4,2.0,1,0,1,0,0
PHASE4,OTHER,15.0,DRUG,2,0.0,RANDOMIZED,NONE,TREATMENT,1,1,1.0,1,0,1,1,1
PHASE2,INDUSTRY,99.0,DRUG,4,0.0,RANDOMIZED,TRIPLE,TREATMENT,1,3,3.0,12,1,0,0,0
NA,OTHER,20.0,DEVICE,17,0.0,RANDOMIZED,NONE,TREATMENT,1,1,1.0,1,0,0,1,0
PHASE1,INDUSTRY,20.0,DRUG,2,0.0,NON_RANDOMIZED,NONE,TREATMENT,1,2,2.0,5,1,0,0,1
NA,OTHER,30.0,OTHER,2,1.0,RANDOMIZED,DOUBLE,TREATMENT,2,3,1.5,2,1,0,1,0
PHASE3,INDUSTRY,1000.0,DEVICE,2,1.0,RANDOMIZED,QUADRUPLE,TREATMENT,2,2,1.0,60,1,1,0,0
PHASE4,INDUSTRY,,DRUG,0,,RANDOMIZED,DOUBLE,TREATMENT,0,0,0.0,30,1,1,0,0
NA,OTHER,30.0,OTHER,2,0.0,RANDOMIZED,NONE,SUPPORTIVE_CARE,1,3,3.0,1,0,0,1,1
NA,OTHER,114.0,BEHAVIORAL,2,1.0,RANDOMIZED,SINGLE,SUPPORTIVE_CARE,1,1,1.0,1,0,1,1,0
PHASE4,INDUSTRY,220.0,DRUG,0,,RANDOMIZED,DOUBLE,TREATMENT,1,3,3.0,0,0,0,0,0
PHASE4,OTHER,5.0,COMBINATION_PRODUCT,2,0.0,NON_RANDOMIZED,NONE,TREATMENT,1,3,3.0,1,0,0,0,0
PHASE1,NIH,30.0,DRUG,0,,NON_RANDOMIZED,NONE,TREATMENT,3,1,0.3333333333333333,4,1,1,1,0
NA,OTHER,76.0,DEVICE,2,0.0,RANDOMIZED,NONE,TREATMENT,2,1,0.5,1,0,0,0,0
NA,OTHER,158.0,BEHAVIORAL,3,0.0,RANDOMIZED,SINGLE,HEALTH_SERVICES_RESEARCH,2,0,0.0,1,0,1,1,0
NA,OTHER_GOV,248.0,PROCEDURE,0,,NON_RANDOMIZED,NONE,DIAGNOSTIC,0,0,0.0,1,0,0,1,0
NA,OTHER,34.0,DEVICE,2,1.0,RANDOMIZED,DOUBLE,TREATMENT,2,1,0.5,1,0,0,0,0
NA,OTHER,75.0,PROCEDURE,3,0.0,RANDOMIZED,DOUBLE,TREATMENT,1,2,2.0,1,0,0,0,0
NA,OTHER,354.0,DEVICE,2,0.0,RANDOMIZED,NONE,SUPPORTIVE_CARE,1,7,7.0,1,0,0,0,0
NA,OTHER,250.0,DRUG,2,0.0,RANDOMIZED,DOUBLE,PREVENTION,1,1,1.0,1,0,0,0,0
PHASE1,INDUSTRY,5.0,DRUG,1,0.0,NON_RANDOMIZED,NONE,TREATMENT,2,3,1.5,3,1,0,0,1
PHASE3,INDUSTRY,256.0,DRUG,4,,RANDOMIZED,QUADRUPLE,TREATMENT,1,3,3.0,1,0,0,0,0
NA,OTHER,80.0,PROCEDURE,2,0.0,RANDOMIZED,TRIPLE,TREATMENT,1,0,0.0,1,0,0,0,0
NA,OTHER,66.0,DEVICE,2,0.0,RANDOMIZED,NONE,SUPPORTIVE_CARE,1,7,7.0,1,0,1,0,0
NA,OTHER,,DRUG,0,0.0,RANDOMIZED,NONE,HEALTH_SERVICES_RESEARCH,2,0,0.0,1,0,0,1,0
PHASE3,INDUSTRY,347.0,DRUG,3,1.0,RANDOMIZED,QUADRUPLE,TREATMENT,1,35,35.0,57,1,1,0,1
PHASE1,OTHER,45.0,BIOLOGICAL,7,0.0,NON_RANDOMIZED,NONE,PREVENTION,2,1,0.5,1,0,0,1,0
PHASE4,INDUSTRY,15.0,DRUG,2,0.0,RANDOMIZED,DOUBLE,BASIC_SCIENCE,1,0,0.0,1,0,0,0,0
NA,OTHER,445.0,BEHAVIORAL,2,0.0,RANDOMIZED,NONE,SUPPORTIVE_CARE,1,5,5.0,21,1,1,1,0
NA,OTHER,172.0,DRUG,2,1.0,RANDOMIZED,DOUBLE,BASIC_SCIENCE,1,0,0.0,1,0,1,2,0
PHASE1/PHASE2,INDUSTRY,0.0,DRUG,3,0.0,NON_RANDOMIZED,NONE,TREATMENT,1,1,1.0,0,0,0,3,1
PHASE3,OTHER,83.0,PROCEDURE,2,1.0,RANDOMIZED,NONE,TREATMENT,1,0,0.0,3,1,0,0,0
PHASE4,INDUSTRY,340.0,BEHAVIORAL,2,0.0,RANDOMIZED,SINGLE,TREATMENT,1,1,1.0,2,1,0,0,0
NA,OTHER,30.0,BEHAVIORAL,2,0.0,RANDOMIZED,DOUBLE,TREATMENT,1,3,3.0,1,0,0,1,0
PHASE4,INDUSTRY,,DRUG,0,,RANDOMIZED,DOUBLE,TREATMENT,1,0,0.0,1,0,1,1,0
PHASE2,OTHER,0.0,DRUG,3,1.0,RANDOMIZED,SINGLE,TREATMENT,1,0,0.0,0,0,0,0,1
NA,OTHER,72.0,BEHAVIORAL,2,0.0,RANDOMIZED,NONE,SUPPORTIVE_CARE,1,8,8.0,1,0,0,3,0
NA,OTHER,312.0,DRUG,3,,RANDOMIZED,NONE,TREATMENT,1,3,3.0,0,0,0,1,0
NA,OTHER,74.0,PROCEDURE,2,,RANDOMIZED,NONE,TREATMENT,2,1,0.5,1,0,0,0,0
NA,OTHER,24.0,OTHER,2,0.0,NON_RANDOMIZED,NONE,BASIC_SCIENCE,1,14,14.0,1,0,0,0,0
PHASE3,INDUSTRY,664.0,DRUG,4,0.0,RANDOMIZED,QUADRUPLE,TREATMENT,1,21,21.0,1,0,1,1,0
NA,OTHER,48.0,DEVICE,2,0.0,RANDOMIZED,DOUBLE,TREATMENT,1,0,0.0,1,0,0,0,0
NA,INDUSTRY,67.0,DEVICE,3,0.0,RANDOMIZED,QUADRUPLE,TREATMENT,2,1,0.5,4,1,1,0,0
PHASE3,OTHER,1202.0,BIOLOGICAL,4,1.0,RANDOMIZED,NONE,TREATMENT,1,2,2.0,1,0,0,2,0
NA,OTHER,27.0,BEHAVIORAL,2,,RANDOMIZED,SINGLE,TREATMENT,3,0,0.0,1,0,0,0,0
NA,OTHER,117.0,BEHAVIORAL,2,0.0,RANDOMIZED,NONE,PREVENTION,2,4,2.0,2,1,1,2,0
NA,OTHER_GOV,45.0,OTHER,2,0.0,RANDOMIZED,SINGLE,TREATMENT,4,8,2.0,1,0,0,0,0
PHASE2,INDUSTRY,263.0,DRUG,2,0.0,RANDOMIZED,QUADRUPLE,TREATMENT,1,1,1.0,18,1,0,0,0
NA,OTHER,326.0,DEVICE,4,1.0,RANDOMIZED,NONE,PREVENTION,1,5,5.0,2,1,0,0,0
NA,FED,,DRUG,0,,RANDOMIZED,NONE,TREATMENT,0,0,0.0,1,0,1,0,0
NA,OTHER,41.0,DEVICE,2,0.0,RANDOMIZED,NONE,TREATMENT,1,7,7.0,1,0,0,1,0
NA,OTHER,300.0,BEHAVIORAL,2,0.0,RANDOMIZED,NONE,SCREENING,1,4,4.0,1,0,0,2,0
PHASE3,OTHER,450.0,DRUG,2,1.0,RANDOMIZED,QUADRUPLE,TREATMENT,1,5,5.0,2,1,0,2,0
PHASE4,OTHER,4.0,DRUG,2,,RANDOMIZED,QUADRUPLE,TREATMENT,1,11,11.0,1,0,1,1,1
EARLY_PHASE1,OTHER_GOV,55.0,DRUG,2,0.0,NON_RANDOMIZED,SINGLE,DIAGNOSTIC,1,0,0.0,1,0,0,0,0
NA,OTHER,500.0,DRUG,4,0.0,RANDOMIZED,QUADRUPLE,UNKNOWN,2,0,0.0,1,0,0,1,0
NA,OTHER,34.0,BEHAVIORAL,2,0.0,RANDOMIZED,NONE,TREATMENT,1,3,3.0,1,0,0,2,0
NA,OTHER,66.0,DEVICE,2,,RANDOMIZED,QUADRUPLE,TREATMENT,1,14,14.0,1,0,0,0,0
NA,INDUSTRY,30.0,DEVICE,0,0.0,NON_RANDOMIZED,NONE,TREATMENT,1,6,6.0,3,1,0,0,1
PHASE2,OTHER,182.0,PROCEDURE,2,1.0,RANDOMIZED,NONE,TREATMENT,1,11,11.0,22,1,1,2,0
